_id,title,text
kqf5e9fe,Glucocorticoid treatment of patients with SARS: implications for mechanisms of immunopathology,
mw7athol,Modelling of potentially promising SARS protease inhibitors,"In many cases, at the beginning of a high throughput screening experiment some information about active molecules is already available. Active compounds (such as substrate analogues, natural products and inhibitors of related proteins) are often identified in low throughput validation studies on a biochemical target. Sometimes the additional structural information is also available from crystallographic studies on protein and ligand complexes. In addition, the structural or sequence similarity of various protein targets yields a novel possibility for drug discovery. Co-crystallized compounds from homologous proteins can be used to design leads for a new target without co-crystallized ligands. In this paper we evaluate how far such an approach can be used in a real drug campaign, with severe acute respiratory syndrome (SARS) coronavirus providing an example. Our method is able to construct small molecules as plausible inhibitors solely on the basis of the set of ligands from crystallized complexes of a protein target, and other proteins from its structurally homologous family. The accuracy and sensitivity of the method are estimated here by the subsequent use of an electronic high throughput screening flexible docking algorithm. The best performing ligands are then used for a very restrictive similarity search for potential inhibitors of the SARS protease within the million compounds from the Ligand.Info small molecule meta-database. The selected molecules can be passed on for further experimental validation."
nb9el3re,The Global Threats from Naturally Occurring Infectious Diseases,"Biological risk relates to a broad spectrum of possible scenarios, that can be classified in three categories: natural occurring, unintended and deliberate. The prevention and management of such events require dedicated measures at national and international level, in terms of biosafety and biosecurity: an optimized intervention can minimize the probability of occurrence, but also adverse short-term (i.e.: number of casualties, population reaction…) and long-term (i.e.: chronic illnesses, ecological changes, trades drop…) consequences. Natural scenarios include common, emerging/re-emerging and chronic infectious diseases: they are caused by biological agents, which can be normally present in the communities, as acute or chronic pathologies, or suddenly appear, causing new or uncommon syndromes. In particular, a lot of environmental and human factors can influence emerging and re-emerging diseases: for example, urbanization and people mobility facilitate microorganisms spread, while climate changes are likely to induce a relocation of pathogens vectors. Unintended events are usually due to research and diagnostic activities: laboratories are the places where biological agents are handled and a lack in Biosafety measures or negligence can result in accidental release; the so called Laboratory Acquired Infections represent the main consequence, since they cause pathologies in the laboratory workers, but could be also transmitted in the population. Deliberate use of biological agents is strictly related to terroristic activities: microorganisms are very suitable for this purpose, since they are hidden and can easily spread. The present chapter summarizes the main characteristics of biological agents related events, taking in account their origin and the principal consequences on the community."
c3ha5cax,Prevention and Control of Influenza Viruses,"The 2003–2004 outbreaks of highly pathogenic avian influenza (HPAI) have proven to be disastrous to the regional poultry industry in Asia, and have raised serious worldwide public health apprehension regarding the steps that should be taken to urgently control HPAI. Control measures must be taken based on the principles of biosecurity and disease management and at the same time making public aware of the precautionary measures at the verge of outbreak. Creation of protection and surveillance zones, various vaccination strategies viz. routine, preventive, emergency, mass and targeted vaccination programmes using live, inactivated and recombinant vaccines are the common strategies adopted in different parts of the globe. The new generation vaccines include recombinant vaccines and recombinant fusion vaccine. The pro-poor disease control programmes, giving compensation and subsidies to the farmers along with effective and efficient Veterinary Services forms integral part of control of HPAI. Following biosecurity principles and vaccination forms integral part of control programme against swine and equine influenza as well. Use of neuraminidase (NA) inhibitors (Zanamivir and Oseltamivir) for the treatment of human influenza has been widely accepted worldwide. The threat of increasing resistance of the flu viruses to these antivirals has evoked interest in the development of novel antiviral drugs for influenza virus such as inhibitors of cellular factors and host signalling cascades, cellular miRNAs, siRNA and innate immune peptides (defensins and cathelicidins). Commercial licensed inactivated vaccines for humans against influenza A and B viruses are available consisting of three influenza viruses: influenza type A subtype H3N2, influenza type A subtype H1N1 (seasonal) virus strain and influenza type B virus strain. As per WHO, use of tetravaccine consisting of antigens of influenza virus serotypes H3N2, H1N1, B and H5 is the most promising method to control influenza pandemic. All healthy children in many countries are required to be vaccinated between 6 and 59 months of age. The seasonal vaccines currently used in humans induce strain-specific humoral immunity as the antibodies. Universal influenza virus vaccines containing the relatively conserved ectodomain of M2 (M2e), M1, HA fusion peptide and stalk domains, NA, NP alone or in combination have been developed which have been shown to induce cross-protection. The T cell-based vaccines are another recent experimental approach that has been shown to elicit broad-spectrum heterosubtypic immunity in the host. As far as HPAI is concerned, various pandemic preparedness strategies have been documented."
q9t6yv6r,Survey on the Likely Behavioural Changes of the General Public in Four European Countries During the 2009/2010 Pandemic,"In order to assess the likely impact of public health interventions, it is important to predict the acceptance of control measures, as well as the behavioural changes that may occur among the general public in response to epidemics, in particular lethal ones. The emergence of 2009 pandemic allowed us to assess the general public’s behaviour during the pandemic, via two surveys: one at the beginning and one after the first wave of the 2009 pandemic, in four European countries.Results showed some differences between participating countries in previous behaviours relating to seasonal flu and in beliefs and knowledge about 2009 pandemic influenza. No substantial differences were detected among the four countries in the first survey with respect to the intended behaviours in anticipation of the spread of the pandemic virus. However, results from the second survey showed differences within and among the four participating countries. The two surveys were useful in showing differences between behavioural intentions and actual actions related to the 2009 pandemic influenza. To our knowledge this is the first study investigating the actual behaviour of the population in four EU countries and provides crucial descriptions of pandemic impact on social-network dynamics parameters which can be included in mathematical models."
dtveihrj,Litigations for HIV Related Complications,"In 1992, a 27-year-old male with same sex exposure requested human immuno-deficiency virus (HIV) testing anonymously at a walk-in clinic. He was advised that the test (HIV serology) was positive and he requested a repeat test (anonymously) 1 month later, which was also reported as being positive. About 2 years later, he was assessed by a general practitioner for symptoms of depression and continued medical care. At that time, investigations revealed a CD4 T-cell count of about 700 cells/uL. Sometime in 1996 a repeat blood test revealed a CD4 cell count just <500 cells/uL. No consultation to an infectious diseases specialist or HIV clinic was made. The GP(general practitioner) then initiated a regimen consisting of didanosine, lamivudine, and saquinavir for HIV infection. At that time, testing for HIV viral load was not generally available to the medical community, but became procurable in 1997. Initially, the patient tolerated the regimen well and over the next 3 years his CD4 cell count was maintained above 600–700 cells/uL and the HIV viral load remained undetectable (<50 copies). However, the patient started to show morphologic changes of moderate facial and peripheral lipoatrophy, developed mild sensory peripheral neuropathy, and increased liver enzymes attributable to fatty liver, and elevations of the fasting serum glucose. In the summer of 2000, although the CD4 cell count remained stable, the HIV viral load was reported as being over 7,000 copies/uL. At this time, the patient was referred to a university hospital HIV clinic."
8ies5d32,From SARS and avian flu to swine flu,
8wbal6fq,ISAR News,
mm8en4os,Tracheal Infections,"Infectious processes of the trachea represent a distinct clinical entity with an evolving landscape owing to advances in airway management and vaccination practices. Untreated inflammatory processes of the trachea may present in the form of acute airway obstruction, potentially resulting in significant morbidity and even mortality. Therefore it is important to recognize the cardinal features of some of the common tracheal infectious processes to differentiate them from non-infectious pathology, as the latter is associated with a more indolent course. As with most other infectious processes of the airway, pathogens causing tracheal infection can be bacterial, viral or fungal in nature. Viral etiology represents the most common cause of laryngotracheal infection in a child. Bacterial infections of the trachea are responsible for more significant morbidity, including prolonged hospitalization, need for endotracheal intubation and even an occasional tracheostomy. The current chapter describes the clinical features and microbiology of tracheal infections at large, explores the utility of diagnostic tests, and provides an algorithm for management."
397m2zpp,Assessment of a respiratory face mask for capturing air pollutants and pathogens including human influenza and rhinoviruses.,"Background Prevention of infection with airborne pathogens and exposure to airborne particulates and aerosols (environmental pollutants and allergens) can be facilitated through use of disposable face masks. The effectiveness of such masks for excluding pathogens and pollutants is dependent on the intrinsic ability of the masks to resist penetration by airborne contaminants. This study evaluated the relative contributions of a mask, valve, and Micro Ventilator on aerosol filtration efficiency of a new N95 respiratory face mask. Methods The test mask was challenged, using standardized methods, with influenza A and rhinovirus type 14, bacteriophage ΦΧ174, Staphylococcus aureus (S. aureus), and model pollutants. The statistical significance of results obtained for different challenge microbial agents and for different mask configurations (masks with operational or nonoperational ventilation fans and masks with sealed Smart Valves) was assessed. Results The results demonstrate >99.7% efficiency of each test mask configuration for exclusion of influenza A virus, rhinovirus 14, and S. aureus and >99.3% efficiency for paraffin oil and sodium chloride (surrogates for PM2.5). Statistically significant differences in effectiveness of the different mask configurations were not identified. The efficiencies of the masks for excluding smaller-size (i.e., rhinovirus and bacteriophage ΦΧ174) vs. larger-size microbial agents (influenza virus, S. aureus) were not significantly different. Conclusions The masks, with or without features intended for enhancing comfort, provide protection against both small- and large-size pathogens. Importantly, the mask appears to be highly efficient for filtration of pathogens, including influenza and rhinoviruses, as well as the fine particulates (PM2.5) present in aerosols that represent a greater challenge for many types of dental and surgical masks. This renders this individual-use N95 respiratory mask an improvement over the former types of masks for protection against a variety of environmental contaminants including PM2.5 and pathogens such as influenza and rhinoviruses."
56lhovmz,Rapid diagnostic testing for seasonal influenza: an evidence-based review and comparison with unaided clinical diagnosis.,"BACKGROUND Worldwide, seasonal influenza imposes a considerable health and economic burden. Clinical diagnosis of influenza-like illness (ILI) is complicated by non-specific symptomatology. Rapid flu tests (RFTs) impact treatment decisions and may improve patient care; yet, recommendations for RFT use are broad, and the performance of unaided clinical diagnosis relative to RFTs is unclear. OBJECTIVES To determine age-stratified, overall sensitivities and specificities of the widely studied RFT, QuickVue® (Quidel Corporation, San Diego, CA), and clinical diagnosis of ILI by meta-analysis and to seek factors associated with poorer clinical diagnostic discrimination. METHODS A systematic literature review was conducted using article selection criteria identifying studies indexed in PubMed/MEDLINE, the Cochrane Library, and other pertinent sources of studies reporting sensitivity, specificity, and effects of RFTs and clinical diagnosis on decision-making for patients with ILI. RESULTS QuickVue's® diagnostic specificity exceeds that of unaided clinical diagnosis by 29-31%. False-positive results occur approximately 8.2 times more frequently by unaided clinical diagnosis than by the RFT alone. These findings were unaffected by seasonal variations in disease prevalence. RFTs reduce diagnostic testing, antibiotic use, and emergency department utilization while increasing antiviral prescription rates. No systematic relationship between the broadness of clinical diagnostic criteria for influenza and diagnostic performance was observed across studies included in this review. CONCLUSIONS Use of RFTs improves seasonal influenza diagnostic specificity above that based on unaided clinical diagnosis irrespective of the broadness of clinical diagnostic criteria, and affects clinical decision-making. These results provide an improved framework upon which to diagnose influenza, design future RFT studies, and modify existing recommendations for improved ILI patient management."
g1k3zlax,Coronavirus: Update Related to the Current Outbreak of COVID-19.,"In December 2019, some cases of viral pneumonia were epidemiologically related to a new coronavirus in the province of Hubei, China. Subsequently, there has been an increase in infections attributable to this virus throughout China and worldwide. The World Health Organization (WHO) has officially named the infection coronavirus disease 2019 (COVID-19), and the virus has been classified as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). This appears to be a virus from Rhinolophus bats, but the intermediate host has not yet been identified. The mechanism of infection of SARS-CoV-2 is not yet known; it appears to have affinity for cells located in the lower airways, where it replicates. The interhuman transmission of coronaviruses mainly occurs through saliva droplets and direct and indirect contact via surfaces. As of March 10, 2020, the number of cases worldwide was 113,702. Along with severe acute respiratory syndrome (SARS) and Middle Eastern respiratory syndrome (MERS), COVID-19 appears to cause a severe clinical picture in humans, ranging from mild malaise to death by sepsis/acute respiratory distress syndrome. The prognosis is worse in elderly patients with comorbidities. To date, there is no specific therapy for COVID-19. Prevention of SARS-CoV-2 infection implies strategies that limit the spread of the virus. WHO and other international and national bodies have developed continuously updated strategic objectives and provisions to contain the spread of the virus and infection."
6donibpz,Industry 4.0 technologies and their applications in fighting COVID-19 pandemic,"Abstract Background and aims COVID 19 (Coronavirus) pandemic has created surge demand for essential healthcare equipment, medicines along with the requirement for advance information technologies applications. Industry 4.0 is known as the fourth industrial revolution, which has the potential to fulfil customised requirement during COVID-19 crisis. This revolution has started with the applications of advance manufacturing and digital information technologies. Methods A detailed review of the literature is done on the technologies of Industry 4.0 and their applications in the COVID-19 pandemic, using appropriate search words on the databases of PubMed, SCOPUS, Google Scholar and Research Gate. Results We found several useful technologies of Industry 4.0 which help for proper control and management of COVID-19 pandemic and these have been discussed in this paper. The available technologies of Industry 4.0 could also help the detection and diagnosis of COVID-19 and other related problems and symptoms. Conclusions Industry 4.0 can fulfil the requirements of customised face masks, gloves, and collect information for healthcare systems for proper controlling and treating of COVID-19 patients. We have discussed ten major technologies of Industry 4.0 which help to solve the problems of this virus. It is useful to provide day to day update of an infected patient, area-wise, age-wise and state-wise with proper surveillance systems. We also believe that the proper implementation of these technologies would help to enhance education and communication regarding public health. These Industry 4.0 technologies could provide a lot of innovative ideas and solution for fighting local and global medical emergencies."
25hxhv6m,"If a coronavirus vaccine arrives, can the world make enough?",
99ttewb5,Livestock infectious diseases and zoonoses.,"Infectious diseases of livestock are a major threat to global animal health and welfare and their effective control is crucial for agronomic health, for safeguarding and securing national and international food supplies and for alleviating rural poverty in developing countries. Some devastating livestock diseases are endemic in many parts of the world and threats from old and new pathogens continue to emerge, with changes to global climate, agricultural practices and demography presenting conditions that are especially favourable for the spread of arthropod-borne diseases into new geographical areas. Zoonotic infections that are transmissible either directly or indirectly between animals and humans are on the increase and pose significant additional threats to human health and the current pandemic status of new influenza A (H1N1) is a topical example of the challenge presented by zoonotic viruses. In this article, we provide a brief overview of some of the issues relating to infectious diseases of livestock, which will be discussed in more detail in the papers that follow."
k8q11s9b,Skin manifestations of COVID-19.,"Cutaneous manifestations, a well-known effect of viral infections, are beginning to be reported in patients with COVID-19 disease. These manifestations most often are morbilliform rash, urticaria, vesicular eruptions, acral lesions, and livedoid eruptions. Some of these cutaneous manifestations arise before the signs and symptoms more commonly associated with COVID-19, suggesting that they could be presenting signs of COVID-19. utaneous manifestations are well known to occur in the setting of viral illnesses, and occasionally these manifestations have diagnostic or prognostic value. With COVID-19, although we are at a relatively early point in the pandemic, cutaneous manifestations in infected patients are beginning to emerge from around the world. In this article, we describe some of the current cutaneous abnormalities observed in patients with COVID-19."
ei0qno68,Novel tip to prevent ear irritation with surgical face masks (FRSM) during the coronavirus (COVID-19) pandemic.,
z82u8dik,Association between chronic ACE inhibitor exposure and decreased odds of severe disease in patients with COVID-19.,"OBJECTIVE Coronavirus disease 2019 (COVID-19) is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Renin-angiotensin-aldosterone-system (RAAS) inhibitors may increase the expression of angiotensin-converting enzyme 2, which is the receptor for SARSCoV-2 Spike protein. The consequences of using angiotensin-converting enzyme inhibitors (ACEi) and angiotensin receptor blockers (ARB) during the COVID-19 pandemic are unknown. METHODS A retrospective cohort study aiming to identify the odds of severe disease (defined as either hospitalization of ≥14 days, admission to the intensive care unit, or death) associated with exposure to ACEi or ARB was conducted. Adult patients (age ≥18 years) with COVID-19 admitted to the İstanbul Faculty of Medicine Corona Center between March 9 and May 11, 2020, were included. Chronic users of ACEi, ARB, or other antihypertensive drugs were matched according to age, sex, sick days before hospitalization, comorbidities, smoking, number of antihypertensive regimens, doxazosin use, furosemide use, and serum creatinine level. Odds ratios (OR) of having severe disease were calculated. RESULTS In total, 611 patients were admitted with COVID-19, confirmed by either reverse-transcriptase polymerase chain reaction or computed tomography (CT). There were 363 males, and the age ranged from 18 to 98 years, with an average age of 57±15 years. Of these, 165 participants had severe disease (53 deaths, case fatality rate: 8.7%). Among those with hypertension (n=249), ARB exposure was compatible with decreased odds (OR=0.60, 95% CI: 0.27-1.36, p=0.31) of severe disease though not statistically significant, while ACEi exposure significantly reduced the risk of severe disease (OR=0.37, 95% CI: 0.15-0.87, p=0.03). ACEi exposure was associated with milder infiltrations seen on baseline CT, lower C-reactive protein and ferritin, higher monocytes, shorter hospitalization, and less requirement for specific empirical treatments (favipiravir and meropenem). CONCLUSION Our data suggest that exposure to ACEi drugs may have favorable effects in the context of COVID-19 pneumonia."
jlop0lui,The transmission of SARS-CoV-2 is likely comodulated by temperature and by relative humidity,"Quantifying the role of temperature and humidity on the transmission of SARS-CoV-2 has been confounded by a lack of controlled experiments, the sudden rise in detection rates, and changing weather patterns. In this paper we focus our analysis on data from Colombia, which presents unique economic, demographic and geological characteristics that favor the study of temperature and humidity upon SARS-CoV-2 transmission: the weather varies dramatically across five natural regions (from the Caribbean coast and the Amazon rainforest to the Andean mountains), there are no pronounced seasons, there is a central port of entry, the use of public transportation dominates inter- and intracity travel, and indoor climate control is rare. While only controlled experiments can precisely quantify the role of temperature and humidity upon SARS-CoV-2 transmission, we observe significant attenuation of transmission in climates with sustained daily maximum temperatures above 30 degrees Celsius and simultaneous mean relative humidity below 78%. We hypothesize that temperature and relative humidity comodulate the infectivity of SARS-CoV-2 within respiratory droplets."
r141na6j,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020","Background: The outbreak of COVID-19 in China in early 2020 provides a rich data source for exploring the ecological determinants of this new infection, which may be of relevance elsewhere. Objectives: Assessing the spread of the COVID-19 across China, in relation to associations between cases and ecological factors including population density, temperature, solar radiation and precipitation. Methods: Open-access COVID-19 case data include 18,069 geo-located cases in China during January and February 2020, which were mapped onto a 0.25° latitude/longitude grid together with population and weather data (temperature, solar radiation and precipitation). Of 15,539 grid cells, 559 (3.6%) contained at least one case, and these were used to construct a Poisson regression model of cell-weeks. Weather parameters were taken for the preceding week given the established 5-7 day incubation period for COVID-19. The dependent variable in the Poisson model was incident cases per cell-week and exposure was cell population, allowing for clustering of cells over weeks, to give incidence rate ratios. Results: The overall COVID-19 incidence rate in cells with confirmed cases was 0.12 per 1,000. There was a single case in 113/559 (20.2%) of cells, while two grid cells recorded over 1,000 cases. Weekly means of maximum daily temperature varied from -28.0 to 30.1 °C, minimum daily temperature from -42.4 to 23.0 °C, maximum solar radiation from 0.04 to 2.74 MJm-2 and total precipitation from 0 to 72.6 mm. Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence. Conclusion: Though not demonstrating cause and effect, there were appreciable associations between weather and COVID-19 incidence during the epidemic in China. This does not mean the pandemic will go away with summer weather but demonstrates the importance of using weather conditions in understanding and forecasting the spread of COVID-19."
zt5alyy2,IL6 inhibition in critically ill COVID-19 patients is associated with increased secondary infections,"Anti-inflammatory therapies such as IL-6 inhibition have been proposed for COVID-19 in a vacuum of evidence-based treatment. However, abrogating the inflammatory response in infectious diseases may impair a desired host response and predispose to secondary infection. To determine whether IL-6 inhibition is associated with an increased occurrence of secondary infections in patients admitted to the intensive care unit (ICU). We retrospectively reviewed the medical record of patients during an 8-week span and compared the incidence of secondary infection in patients who did and did not receive tocilizumab. The study was approved by the IRB. Additionally, we included representative histopathologic post-mortem findings from several COVID-19 cases that underwent autopsy at our institution. The study was conducted in a cohorted COVID-19 ICU at a tertiary care university medical center. Patients 18 years of age or older admitted to the adult COVID-19 intensive care unit with COVID-19 were randomly selected. We reviewed the occurrence and nature of secondary infections and clinical outcomes in patients who did and did not receive tocilizumab. Measures were formulated prior to the study. For autopsy findings, we were interested in the lung pathology. 60 patients were selected of which 28 had received tocilizumab while 32 had not. Receiving tocilizumab was associated with a higher risk of secondary bacterial (64.3% vs. 31.3%, p=0.010) and fungal (7.1% vs. 0%, p=0.096) infections. 7 cases underwent autopsy. In 3 cases, tocilizumab had previously been given. All 3 patients demonstrated evidence of pneumonia on pathology. Of the 4 cases that had not been given tocilizumab, 2 showed evidence of aspiration pneumonia and 2 exhibited diffuse alveolar damage. Experimental therapies are currently being applied to COVID-19 outside of clinical trials. Anti-inflammatory therapies such as anti-IL-6 therapy have the potential to impair viral clearance, predispose to secondary infection, and cause harm. We seek to raise physician awareness of these issues and highlight the need to better understand the immune response in COVID-19."
